CuocCode,Level1,Descripcion,Nombre,Primario
01100,0,"Planean, organizan, comandan y ejecutan la implementación de procedimientos y políticas militares en todos los niveles jerárquicos; adiestran y comandan al personal de las fuerzas militares para garantizar la soberanía del territorio nacional y la defensa y promoción de los derechos humanos; dan instrucción del uso de armas y demás equipo militar; pasan revista a los destacamentos; asumen la responsabilidad por el bienestar de los subalternos; tienen las destrezas, habilidades y competencias requeridas para adelantar operaciones marítimas, fluviales, aéreas y terrestres, en función del desarrollo y la seguridad nacional, y llevan a cabo funciones similares a las realizadas en una variedad de ocupaciones civiles ajenas a las Fuerzas Militares. Se pueden desempeñar en ocupaciones exclusivas de las mismas fuerzas, entre otros.",Oficiales de las fuerzas militares,0110
02100,0,"Supervisan y comandan las operaciones de las Fuerzas Militares a su cargo, como parte de medidas colectivas de defensa de la soberanía, la independencia, el orden constitucional, la protección de los derechos y la integridad del territorio nacional; realizan ejercicios de preparación y adiestramiento, y ejecutan funciones similares a las que se llevan a cabo en diversas ocupaciones civiles, ajenas a las Fuerzas Armadas. Se pueden desempeñar en ocupaciones exclusivas de las mismas fuerzas, entre otros.",Suboficiales de las fuerzas militares,0210
03100,0,"Actúan y apoyan unidades de combate en operaciones de las fuerzas militares para la conservación, restablecimiento del orden público; realizan acciones de defensa para proteger el territorio, las aguas, el espacio aéreo nacional; defienden la soberanía, la independencia, la integridad del territorio nacional y el orden constitucional, y ejecutan funciones similares a las que se llevan a cabo en diversas ocupaciones civiles, ajenas a las Fuerzas Armadas. Se pueden desempeñar en ocupaciones exclusivas de las mismas fuerzas, entre otros.",Otros miembros de las fuerzas militares,0310
11110,1,"Definen, formulan y orientan la política del poder público en todos sus niveles; elaboran, promulgan, modifican o derogan leyes y decretos de los gobiernos, dentro del marco de la constitución que determina sus poderes y el ámbito de su jurisdicción; designan o nombran a los jefes de los gabinetes ministeriales, de departamentos administrativos, agentes diplomáticos consulares, presidentes, directores o gerentes de los establecimientos públicos nacionales cuya provisión no corresponda a otros funcionarios o corporaciones. En esta ocupación por lo general son elegidos por voto popular. Se pueden desempeñar en el sector público, gobierno, entre otros.",Directores formuladores y ejecutores de políticas y normas,1111
11120,1,"Asesoran al gobierno sobre cuestiones normativas; supervisan la interpretación y aplicación de las políticas gubernamentales y la legislación por departamentos y organismos gubernamentales; representan al país en el extranjero y actúan en su nombre, o llevan a cabo tareas similares en organizaciones intergubernamentales. Además, planean, organizan, dirigen, controlan y evalúan las actividades generales de los departamentos del gobierno municipal o local, regional y nacional, juntas, organismos o comisiones de acuerdo con la legislación y las políticas establecidas por el gobierno y los órganos legislativos. Se pueden desempeñar en el sector público, gobierno, entre otros.",Directores del gobierno,1112
11130,1,"Planean, organizan, dirigen y controlan funciones legislativas, administrativas y ceremoniales basadas tanto en la tradición de su comunidad como en la repartición de los poderes y responsabilidades entre los dirigentes o jefes de sus colectividades y las autoridades locales, regionales y nacionales. Se pueden desempeñar en cargos del gobierno, sector público, entre otros.",Jefes de comunidades étnicas,1113
11140,1,"Planean, formulan, definen e implementan las políticas, estatutos y reglamentos de la organización de membresía como partidos políticos, organizaciones sindicales, asociaciones de profesionales, comerciales y gremiales, asociaciones deportivas o de fines particulares; velan por su cumplimiento y actúan en su nombre y representación. Se pueden desempeñar en organizaciones deportivas, asociaciones de profesionales, sindicatos estatales, gremios, entre otros.","Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)",1114
11200,1,"Planean, organizan, dirigen y controlan las actividades generales de las empresas u organizaciones con la asistencia de otros directores y gerentes; dentro de las pautas establecidas, formulan políticas que determinan la dirección a tomar por las empresas; generalmente siguen orientaciones de un órgano directivo o una junta directiva (con excepción de los departamentos ministeriales y las organizaciones que representan un interés especial). Se pueden desempeñar en empresas, compañías, sector privado, entre otros.",Directores y gerentes generales,1120
12111,1,"Planean, coordinan, controlan operaciones financieras y contables; proponen, estudian y calculan nuevos proyectos y retornos de la inversión, desarrollan e implementan políticas y sistemas financieros, supervisan y realizan seguimiento a los informes de auditoría, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en compañías financieras, sector público, entre otros.",Directores y gerentes financieros,1211
12112,1,"Planean, coordinan, controlan operaciones financieras que proveen servicios de seguros, bienes raíces y corretaje financiero; proponen, estudian y calculan nuevos proyectos y retornos de la inversión, desarrollan e implementan políticas y sistemas financieros, supervisan y realizan seguimiento a los informes, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en compañías de servicios financieros, aseguradoras, sector público, entre otros.","Directores y gerentes de seguros, bienes raíces y corretaje financiero",1211
12113,1,"Planean, coordinan, controlan operaciones financieras que proveen servicios de banca, crédito e inversiones; proponen, estudian y calculan nuevos proyectos y retornos de la inversión, desarrollan e implementan políticas financieras, supervisan y realizan seguimiento a los informes de la empresa u organización, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en compañías financieras, cooperativas de crédito, entidades de inversión, agencias y sociedades de bolsa, sector público, entre otros.","Directores y gerentes de banca, crédito e inversiones",1211
12120,1,"Planean, diseñan, implementan y evalúan políticas, programas, proyectos y procedimientos de talento humano, contratos, salarios, beneficios laborales, capacitación y desarrollo de personal; consultan y asesoran a los directivos de otros departamentos y demás empleados sobre la interpretación de políticas de personal, materia de seguridad y salud ocupacional, acuerdos colectivos y análisis ocupacional, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en sector público y privado, entre otros.",Directores y gerentes de gestión de talento humano,1212
12130,1,"Planean, organizan, dirigen y coordinan las actividades de asesoramiento sobre políticas, programas y planeación estratégica; gestionan las actividades de empresas que prestan servicios de desarrollo de planeación estratégica, comercio internacional, transporte, agricultura, entre otros para promover el desarrollo de negocios comerciales e industriales en áreas rurales y urbanas, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en el gobierno, sector público, entre otros.",Directores y gerentes de políticas y planeación,1213
12191,1,"Planean, organizan, dirigen y controlan las operaciones de limpieza y mantenimiento de instalaciones (infraestructura locativa), mantenimiento de equipos y herramientas, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en constructoras, centros comerciales, aeropuertos, puertos, bodegas de almacenamiento, terminales de transporte, conjuntos residenciales, departamentos de mantenimiento en empresas manufactureras, entre otros.",Directores y gerentes de limpieza y mantenimiento,1219
12199,1,"Planean, organizan, dirigen y controlan actividades de departamentos y de unidades administrativas y comerciales no clasificadas anteriormente, se incluyen ocupaciones como director de instalaciones, director de servicios de limpieza, director de servicios administrativos, entre otros, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en firmas de consultoría administrativa, entre otros.",Directores y gerentes de administración y servicios no clasificados en otras ocupaciones,1219
12211,1,"Planean, organizan, dirigen y controlan las actividades de ventas y mercadeo, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en empresas de comercio, empresas de consultoría de mercadeo, entre otros.",Directores y gerentes de ventas y mercadeo,1221
12212,1,"Planean, organizan, dirigen y controlan actividades de comercio internacional, ya sea como director de un departamento u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en empresas de servicios de aduanas, sector público, entre otros.",Directores y gerentes de comercio exterior,1221
12220,1,"Planean, organizan, dirigen y controlan las actividades y estrategias de publicidad, relaciones públicas e información; divulgan actividades, eventos y mantienen buenas relaciones con los medios, agencias de comunicación, publicitaria y de diseño, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en firmas de consultoría, corporaciones, asociaciones, gobierno, instituciones sociales, medios de comunicación, entre otros.",Directores y gerentes de publicidad y relaciones públicas,1222
12230,1,"Planean, dirigen y coordinan las actividades de investigación y desarrollo científico de una empresa u organización que proporcionan servicios afines a otras empresas y organizaciones; preparan reportes, proveen consultoría y administran programas relacionados, ya sea como director de un departamento de una gran empresa u organización o de una empresa que ofrece este tipo de servicios a otras empresas y organizaciones. Se pueden desempeñar en empresas de consultoría e investigación científica, bebidas y alimentos, laboratorios farmacéuticos, organizaciones reguladoras, entre otros.","Directores y gerentes de ingeniería, investigación y desarrollo",1223
13110,1,"Planean, organizan, dirigen y controlan las operaciones de producción de explotación a gran escala de agricultura, horticultura, silvicultura y ganadería teniendo en cuenta parámetros de calidad definidos, buscando la optimización de recursos, productividad del cultivo y mejora continua, mercadean productos de una finca. Se pueden desempeñar en fincas, grandes haciendas, granjas colectivas, cooperativas agrícolas, entre otros.",Directores y gerentes de producción agropecuaria y silvicultura,1311
13120,1,"Planean, organizan, dirigen y controlan las operaciones de producción de explotación a gran escala de agricultura, horticultura, silvicultura y ganadería teniendo en cuenta parámetros de calidad definidos, buscando la optimización de recursos, productividad del cultivo y mejora continua, mercadean productos de una finca. Se pueden desempeñar en fincas, grandes haciendas, granjas colectivas, cooperativas agrícolas, entre otros.","Directores y gerentes de producción acuícola, piscícola y de pesca",1312
