term,level1_candidate,id,count,levels,Pamela v1,Alex_v1,Andres,Alex_v2,Pamela v2,sum,manual_keep,decision,reason,confidence,notes_examples,level1_name,confidence_label,denomination_occurrences,primary_groups,occupations,standalone_title,first_token_ratio,in_official_occupation_name,in_official_primary_group_name,original_forms,semantic_keep,semantic_drop,semantic_review_flag,manual_keep_flag,semantic_keep_flag,agreed,high_conflict
acarreador,9,6014,1,9,0,1,1,1,1,3,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Acarreador de agua,Ocupaciones elementales,high,1,1,1,FALSE,1,FALSE,FALSE,Acarreador,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
acrobata,2,2495,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Acróbata | Acróbata aros chinos | Acróbata barra fija,"Profesionales, científicos e intelectuales",high,12,1,1,TRUE,1,FALSE,FALSE,Acróbata,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
actriz,2,2474,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Actriz,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Actriz,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
actuario,2,863,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Actuario | Matemático de estadística actuario | Matemático estadista actuario,"Profesionales, científicos e intelectuales",high,3,1,1,TRUE,0.333,FALSE,FALSE,"Actuario, actuario",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
acuarelista,2,2281,1,2,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Acuarelista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Acuarelista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
acuicultor,6,4206,1,6,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Acuicultor,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",high,1,1,1,TRUE,1,FALSE,FALSE,Acuicultor,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
acupunturista,2,1475,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Acupunturista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Acupunturista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
adiestrador,5,3898,1,5,1,1,1,1,1,3,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Adiestrador de perros,Trabajadores de los servicios y vendedores de comercios y mercados,high,1,1,1,FALSE,1,FALSE,FALSE,Adiestrador,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
aerealista,2,2509,1,2,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Aerealista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Aerealista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
aerodeslizador,3,3032,1,3,0,0,1,0,1,2,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Piloto de aerodeslizador,Técnicos y profesionales de nivel medio,low,1,1,1,FALSE,0,FALSE,FALSE,aerodeslizador,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
aerofotografo,2,1290,1,2,1,1,1,1,1,3,TRUE,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Agrimensor aerofotógrafo,"Profesionales, científicos e intelectuales",low,1,1,1,FALSE,0,FALSE,FALSE,aerofotógrafo,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
aeromoza,5,3775,1,5,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Aeromoza,Trabajadores de los servicios y vendedores de comercios y mercados,high,1,1,1,TRUE,1,FALSE,FALSE,Aeromoza,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
agrobiotecnologo,2,880,1,2,1,1,1,1,1,3,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Agrobiotecnólogo laboratorista,"Profesionales, científicos e intelectuales",high,1,1,1,FALSE,1,FALSE,FALSE,Agrobiotecnólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
agrologo,2,943,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Agrólogo,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Agrólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
ahoyador,9,5893,1,9,0,1,0,1,0,1,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Ahoyador de canteras,Ocupaciones elementales,high,1,1,1,FALSE,1,FALSE,FALSE,Ahoyador,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
alergista,2,1384,1,2,0,1,0,1,0,1,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Alergista clínico,"Profesionales, científicos e intelectuales",high,1,1,1,FALSE,1,FALSE,FALSE,Alergista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
alfarero,7,4665,1,7,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Alfarero,"Oficiales, operarios, artesanos y trabajadores de ocupaciones afines",high,1,1,1,TRUE,1,FALSE,FALSE,Alfarero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
almadiero,6,4197,1,6,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Almadiero,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",high,1,1,1,TRUE,1,FALSE,FALSE,Almadiero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
almirante,0,1,1,0,1,0,1,0,1,2,TRUE,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Almirante | Almirante de la armada nacional,Ocupaciones de las fuerzas militares,high,2,1,1,TRUE,1,FALSE,FALSE,Almirante,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
amaestrador,2,2510,1,2,0,1,1,1,1,3,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Amaestrador de fieras,"Profesionales, científicos e intelectuales",high,1,1,1,FALSE,1,FALSE,FALSE,Amaestrador,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
amolador,7,4259,1,7,0,0,1,1,1,3,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.93,Amolador de piedra | Amolador de pizarra | Amolador de sierras,"Oficiales, operarios, artesanos y trabajadores de ocupaciones afines",high,3,2,2,FALSE,1,FALSE,FALSE,Amolador,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
anatomista,2,883,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Anatomista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Anatomista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
andamiero,7,4309,1,7,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Andamiero,"Oficiales, operarios, artesanos y trabajadores de ocupaciones afines",high,1,1,1,TRUE,1,FALSE,FALSE,Andamiero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
anestesiologo,2,1385,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Anestesiólogo,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Anestesiólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
anestesista,2,1386,1,2,1,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Anestesista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Anestesista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
anticuarista,1,681,1,1,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Anticuarista,Directores y gerentes,high,1,1,1,TRUE,1,FALSE,FALSE,Anticuarista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
antipodista,2,2512,1,2,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Antipodista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Antipodista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
antropologo,2,2072,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Antropólogo,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Antropólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
apicultor,6,4164,1,6,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Apicultor,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",high,1,1,1,TRUE,1,FALSE,FALSE,Apicultor,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
arboricultor,6,4096,1,6,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Arboricultor,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",high,1,1,1,TRUE,1,FALSE,FALSE,Arboricultor,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
archivista,2,2026,1,2,0,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.95,Archivista | Archivista audiovisual | Archivista de documentos históricos,"Profesionales, científicos e intelectuales",high,5,1,1,TRUE,1,FALSE,FALSE,Archivista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
arpista,2,2297,1,2,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Arpista,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Arpista,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
arponero,6,4227,1,6,0,0,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Arponero,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",high,1,1,1,TRUE,1,FALSE,FALSE,Arponero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
arqueologo,2,2073,1,2,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Arqueólogo,"Profesionales, científicos e intelectuales",high,1,1,1,TRUE,1,FALSE,FALSE,Arqueólogo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
arriero,9,5876,1,9,1,1,1,1,1,3,TRUE,keep,Título ocupacional explícito: aparece como denominación independiente y/o como núcleo inicial del cargo.,0.91,Arriero,Ocupaciones elementales,high,1,1,1,TRUE,1,FALSE,FALSE,Arriero,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
artesana,7,5000,1,7,0,1,0,1,0,1,TRUE,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.88,Artesana de amasijos,"Oficiales, operarios, artesanos y trabajadores de ocupaciones afines",high,1,1,1,FALSE,1,FALSE,FALSE,Artesana,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
