term,level1_candidate,decision,reason,confidence,notes_examples,level1_name,confidence_label,denomination_occurrences,primary_groups,occupations,standalone_title,first_token_ratio,in_official_occupation_name,in_official_primary_group_name,original_forms
almirante,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Almirante | Almirante de la armada nacional,Ocupaciones de las fuerzas militares,high,2,1,1,True,1.0,False,False,Almirante
armada,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Almirante de la armada nacional | Capitán de corbeta de la armada nacional | Capitán de fragata de la armada nacional,Ocupaciones de las fuerzas militares,high,26,3,3,False,0.0,False,False,armada
infanteria,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Brigadier general de infantería de marina | Capitán de infantería de marina | Coronel de infantería de marina,Ocupaciones de las fuerzas militares,high,20,3,3,False,0.0,False,False,infantería
ejercito,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Brigadier general del ejercito nacional | Cadete del ejercito nacional | Capitán del ejército nacional,Ocupaciones de las fuerzas militares,high,30,3,3,False,0.0,False,False,"ejercito, ejército"
cadete,0,keep,Núcleo de cargo: encabeza denominaciones CUOC del nivel y tiene forma de título ocupacional.,0.93,Cadete de la fuerza aérea | Cadete de las fuerzas armadas | Cadete del ejercito nacional,Ocupaciones de las fuerzas militares,high,3,1,1,False,1.0,False,False,Cadete
fuerzas,0,drop,Término genérico o engañoso en este nivel; su presencia aislada puede producir falsos positivos.,0.96,Cadete de las fuerzas armadas | Oficial fuerzas militares | Comandante general de las fuerzas militares,Ocupaciones de las fuerzas militares,high,6,2,2,False,0.0,True,True,fuerzas
armadas,0,review,"Término técnico o sectorial repetido, pero funciona como especialidad, objeto, proceso o contexto y puede cruzar niveles.",0.68,Cadete de las fuerzas armadas | Técnico jefe de comando de las fuerzas armadas,Ocupaciones de las fuerzas militares,medium,2,2,2,False,0.0,False,False,armadas
corbeta,0,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Capitán de corbeta de la armada nacional | Teniente de corbeta de la armada nacional,Ocupaciones de las fuerzas militares,low,2,1,1,False,0.0,False,False,corbeta
fragata,0,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Capitán de fragata de la armada nacional | Teniente de fragata de la armada nacional,Ocupaciones de las fuerzas militares,low,2,1,1,False,0.0,False,False,fragata
batallon,0,keep,Término inequívoco del dominio del nivel y respaldado por denominaciones CUOC del archivo fuente.,0.96,Comandante batallón ejército,Ocupaciones de las fuerzas militares,high,1,1,1,False,0.0,False,False,batallón
brigada,0,review,Aparece en un contexto CUOC limitado y no como núcleo del cargo; falta evidencia para mantenerlo o descartarlo automáticamente.,0.55,Comandante brigada armada | Comandante brigada ejército,Ocupaciones de las fuerzas militares,low,2,1,1,False,0.0,False,False,brigada
